user,card_index,card_brand,card_type,card_number,expires,cvv,has_chip,cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
0,0,Visa,Debit,4.34468E+15,Dec-22,623,YES,2,"$24,295 ",Sep-02,2008,No
0,1,Visa,Debit,4.95697E+15,Dec-20,393,YES,2,"$21,968 ",Apr-14,2014,No
0,2,Visa,Debit,4.58231E+15,Feb-24,719,YES,2,"$46,414 ",Jul-03,2004,No
0,3,Visa,Credit,4.87949E+15,Aug-24,693,NO,1,"$12,400 ",Jan-03,2012,No
0,4,Mastercard,Debit (Prepaid),5.72287E+15,Mar-09,75,YES,1,$28 ,Sep-08,2009,No
1,0,Visa,Credit,4.4049E+15,Sep-03,736,YES,1,"$27,500 ",Sep-03,2012,No
1,1,Visa,Debit,4.00148E+15,Jul-22,972,YES,2,"$28,508 ",Feb-11,2011,No
1,2,Mastercard,Debit,5.62722E+15,Jun-22,48,YES,2,"$9,022 ",Jul-03,2015,No
1,3,Mastercard,Debit (Prepaid),5.71138E+15,Nov-20,722,YES,2,$54 ,Jun-10,2015,No
1,4,Mastercard,Debit (Prepaid),5.76612E+15,Feb-23,908,YES,1,$99 ,Jul-06,2012,No
2,0,Mastercard,Debit,5.4952E+15,Mar-22,677,YES,2,"$31,599 ",Oct-09,2009,No
2,1,Mastercard,Debit,5.8045E+15,Jul-23,258,NO,2,"$27,480 ",Mar-02,2008,No
2,2,Mastercard,Debit,5.76635E+15,Feb-20,992,YES,1,"$26,743 ",Mar-19,2019,No
2,3,Visa,Debit,4.24202E+15,Jun-20,928,YES,1,"$31,463 ",Apr-14,2014,No
2,4,Mastercard,Debit,5.19103E+15,Jun-24,360,YES,1,"$16,055 ",Sep-09,2009,No
3,0,Visa,Credit,4.01726E+15,May-15,877,YES,2,"$98,100 ",Jan-11,2011,No
3,1,Mastercard,Debit (Prepaid),5.58197E+15,Jun-20,448,YES,1,$62 ,Feb-07,2007,No
3,2,Visa,Debit,4.03224E+15,Jun-22,53,YES,1,"$132,439 ",Nov-10,2011,No
3,3,Visa,Debit,4.93597E+15,Jun-20,649,YES,1,"$125,723 ",Oct-09,2010,No
4,0,Mastercard,Debit,5.90503E+15,Jan-22,886,YES,1,"$34,900 ",Dec-99,2012,No
5,0,Visa,Credit,4.09962E+15,Sep-21,74,YES,2,"$9,900 ",Jan-02,2019,No
5,1,Visa,Debit,4.2812E+15,Jul-13,865,YES,2,"$21,587 ",Sep-07,2007,No
5,2,Visa,Credit,4.41146E+15,Nov-22,922,YES,2,"$15,800 ",Nov-05,2011,No
6,0,Mastercard,Debit,5.20248E+15,Apr-22,861,YES,1,"$29,964 ",Jun-05,2014,No
6,1,Mastercard,Credit,5.08977E+15,Jul-23,686,YES,2,"$11,200 ",Sep-10,2010,No
6,2,Mastercard,Debit,5.76734E+15,Dec-21,669,NO,2,"$26,753 ",Oct-14,2014,No
7,0,Visa,Debit,4.59583E+15,May-23,689,NO,2,"$17,480 ",Jan-20,2020,No
